Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;18045;"Neuroscience and Biobehavioral Reviews";journal;"18737528, 01497634";3,672;Q1;224;344;927;48717;8287;872;8,88;141,62;United Kingdom;Western Europe;"Elsevier Ltd.";"1978-2020";"Behavioral Neuroscience (Q1); Cognitive Neuroscience (Q1); Neuropsychology and Physiological Psychology (Q1)"
2;21100838541;"Nature Human Behaviour";journal;"23973374";3,664;Q1;29;289;456;7800;2426;225;10,78;26,99;United Kingdom;Western Europe;"Nature Publishing Group";"2017-2020";"Behavioral Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Social Psychology (Q1)"
3;20695;"Brain, Behavior, and Immunity";journal;"10902139, 08891591";2,582;Q1;140;351;820;21718;5196;758;6,71;61,87;United States;Northern America;"Academic Press Inc.";"1987-2020";"Behavioral Neuroscience (Q1); Endocrine and Autonomic Systems (Q1); Immunology (Q1)"
4;21100363813;"Current Opinion in Behavioral Sciences";journal;"23521546";1,970;Q1;31;146;458;8729;1957;433;4,45;59,79;United Kingdom;Western Europe;"Elsevier Ltd.";"2015-2020";"Behavioral Neuroscience (Q1); Cognitive Neuroscience (Q1); Psychiatry and Mental Health (Q1)"
5;29443;"Advances in the Study of Behavior";book series;"00653454";1,848;Q1;68;7;26;1036;103;17;7,22;148,00;United States;Northern America;"Academic Press Inc.";"1965, 1969, 1971-1972, 1974, 1976, 1978-1980, 1982-1988, 1990-2020";"Animal Science and Zoology (Q1); Behavioral Neuroscience (Q1); Neuropsychology and Physiological Psychology (Q1)"
6;15481;"Journal of Experimental Psychology: Human Perception and Performance";journal;"00961523, 19391277";1,835;Q1;143;116;462;5841;1337;449;2,78;50,35;United States;Northern America;"American Psychological Association Inc.";"1975-2020";"Arts and Humanities (miscellaneous) (Q1); Behavioral Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Medicine (miscellaneous) (Q1)"
7;19700188391;"Current Topics in Behavioral Neurosciences";journal;"18663389, 18663370";1,637;Q1;50;43;237;6089;908;34;52,80;141,60;Germany;Western Europe;"Springer Verlag";"2009-2020";"Behavioral Neuroscience (Q1)"
8;26133;"Hormones and Behavior";journal;"0018506X, 10956867";1,563;Q1;137;132;505;10813;2014;482;3,67;81,92;United States;Northern America;"Academic Press Inc.";"1969-2020";"Behavioral Neuroscience (Q1); Endocrinology (Q1); Endocrine and Autonomic Systems (Q2)"
9;17467;"Neurobiology of Learning and Memory";journal;"10959564, 10747427";1,557;Q1;113;155;596;12558;1802;583;2,66;81,02;United States;Northern America;"Academic Press Inc.";"1995-2020";"Behavioral Neuroscience (Q1); Cognitive Neuroscience (Q1); Experimental and Cognitive Psychology (Q1)"
10;22138;"Genes, Brain and Behavior";journal;"1601183X, 16011848";1,508;Q1;88;105;205;7450;659;196;3,44;70,95;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2002-2020";"Behavioral Neuroscience (Q1); Genetics (Q1); Neurology (Q1)"
11;18009;"Neuropsychologia";journal;"18733514, 00283932";1,464;Q1;199;351;1117;24540;3312;1074;2,83;69,91;United Kingdom;Western Europe;"Elsevier Ltd.";"1963-2020";"Behavioral Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Cognitive Neuroscience (Q2)"
12;29755;"Human Factors";journal;"00187208, 15478181";1,345;Q1;109;166;255;8414;1182;250;4,15;50,69;United States;Northern America;"SAGE Publications Inc.";"1958-2020";"Applied Psychology (Q1); Behavioral Neuroscience (Q1); Human Factors and Ergonomics (Q1)"
13;25678;"Journal of Research on Adolescence";journal;"10508392, 15327795";1,333;Q1;90;84;207;6093;596;203;2,32;72,54;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1993, 1996-2020";"Behavioral Neuroscience (Q1); Cultural Studies (Q1); Developmental and Educational Psychology (Q1); Social Sciences (miscellaneous) (Q1)"
14;10600153347;"Brain Imaging and Behavior";journal;"19317565, 19317557";1,325;Q1;44;325;464;19575;1611;443;3,41;60,23;United States;Northern America;"Springer New York";"2007-2020";"Behavioral Neuroscience (Q1); Neurology (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1); Radiology, Nuclear Medicine and Imaging (Q1); Cellular and Molecular Neuroscience (Q2); Cognitive Neuroscience (Q2)"
15;16005;"Journal of Sleep Research";journal;"13652869, 09621105";1,322;Q1;110;209;330;7599;1209;309;3,44;36,36;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1992-2020";"Behavioral Neuroscience (Q1); Medicine (miscellaneous) (Q1); Cognitive Neuroscience (Q2)"
16;12866;"Cognitive, Affective and Behavioral Neuroscience";journal;"15307026, 1531135X";1,258;Q1;97;106;271;8668;747;268;2,41;81,77;United States;Northern America;"Springer New York";"2001-2020";"Behavioral Neuroscience (Q1); Cognitive Neuroscience (Q2)"
17;19700175164;"Frontiers in Human Neuroscience";journal;"16625161";1,241;Q1;100;434;1891;28274;5894;1768;2,98;65,15;Switzerland;Western Europe;"Frontiers Media S.A.";"2008-2020";"Behavioral Neuroscience (Q1); Neuropsychology and Physiological Psychology (Q1); Psychiatry and Mental Health (Q1); Biological Psychiatry (Q2); Neurology (Q2)"
18;19700175166;"Frontiers in Behavioral Neuroscience";journal;"16625153";1,199;Q1;64;292;828;21057;2281;787;2,78;72,11;Switzerland;Western Europe;"Frontiers Media S.A.";"2007-2020";"Behavioral Neuroscience (Q1); Neuropsychology and Physiological Psychology (Q1); Cognitive Neuroscience (Q2)"
19;14285;"Behavioural Brain Research";journal;"18727549, 01664328";1,179;Q1;164;687;1703;43036;5304;1672;3,10;62,64;Netherlands;Western Europe;"Elsevier";"1980-2020";"Behavioral Neuroscience (Q1)"
20;20000195043;"Nature and Science of Sleep";journal;"11791608";1,170;Q1;27;37;106;1948;416;97;4,98;52,65;New Zealand;Pacific Region;"Dove Medical Press Ltd.";"2009-2020";"Applied Psychology (Q1); Behavioral Neuroscience (Q1)"
21;5800179612;"Social Neuroscience";journal;"17470919, 17470927";1,165;Q2;64;81;182;4687;479;179;2,56;57,86;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2006-2020";"Development (Q1); Social Psychology (Q1); Behavioral Neuroscience (Q2)"
22;21100386467;"Sleep Health";journal;"23527218";1,083;Q2;20;103;239;3947;714;192;4,04;38,32;United States;Northern America;"Elsevier Inc.";"2015-2020";"Health (social science) (Q1); Social Sciences (miscellaneous) (Q1); Behavioral Neuroscience (Q2); Neuropsychology and Physiological Psychology (Q2)"
23;12122;"Behavioral Neuroscience";journal;"19390084, 07357044";1,054;Q2;135;66;170;3229;375;167;1,76;48,92;United States;Northern America;"American Psychological Association Inc.";"1983-2020";"Behavioral Neuroscience (Q2)"
24;4400151511;"Behavioral and Brain Functions";journal;"17449081";1,025;Q2;56;11;66;961;178;64;2,09;87,36;United Kingdom;Western Europe;"BioMed Central Ltd.";"2005-2020";"Medicine (miscellaneous) (Q1); Behavioral Neuroscience (Q2); Biological Psychiatry (Q2); Cognitive Neuroscience (Q2)"
25;21100780550;"Neurobiology of Sleep and Circadian Rhythms";journal;"24519944";1,009;Q2;7;10;36;551;101;35;3,16;55,10;United States;Northern America;"Elsevier Inc.";"2016-2020";"Behavioral Neuroscience (Q2); Neurology (Q2); Neurology (clinical) (Q2); Pulmonary and Respiratory Medicine (Q2)"
26;24007;"Physiology and Behavior";journal;"1873507X, 00319384";0,993;Q2;153;388;1231;22522;3680;1200;2,94;58,05;United States;Northern America;"Elsevier Inc.";"1966-2020";"Philosophy (Q1); Behavioral Neuroscience (Q2); Experimental and Cognitive Psychology (Q2)"
27;21100329539;"Journal of Eating Disorders";journal;"20502974";0,979;Q2;24;41;137;1688;417;122;3,52;41,17;United Kingdom;Western Europe;"BioMed Central Ltd.";"2013-2020";"Behavioral Neuroscience (Q2); Nutrition and Dietetics (Q2); Psychiatry and Mental Health (Q2)"
28;13163;"Epilepsy and Behavior";journal;"15255050, 15255069";0,961;Q2;98;550;1396;22426;3451;1235;2,76;40,77;United States;Northern America;"Academic Press Inc.";"2000-2020";"Behavioral Neuroscience (Q2); Neurology (Q2); Neurology (clinical) (Q2)"
29;19560;"Stress";journal;"16078888, 10253890";0,949;Q2;76;97;204;5137;609;199;3,17;52,96;United Kingdom;Western Europe;"Informa Healthcare";"1996-2020";"Behavioral Neuroscience (Q2); Endocrine and Autonomic Systems (Q2); Neuropsychology and Physiological Psychology (Q2); Physiology (Q2); Psychiatry and Mental Health (Q2)"
30;17500155120;"Journal of Neuropsychology";journal;"17486653, 17486645";0,912;Q2;34;47;74;2824;183;74;2,20;60,09;United States;Northern America;"Wiley-Blackwell";"2007-2020";"Behavioral Neuroscience (Q2); Cognitive Neuroscience (Q2); Neuropsychology and Physiological Psychology (Q2)"
31;22633;"Learning Disability Quarterly";journal;"07319487, 2168376X";0,900;Q2;47;38;62;1872;121;57;1,78;49,26;United States;Northern America;"SAGE Publications Inc.";"1978-2020";"Education (Q1); Health Professions (miscellaneous) (Q1); Behavioral Neuroscience (Q2)"
32;19700177306;"International Journal of Alzheimer's Disease";journal;"20908024, 20900252";0,881;Q2;46;3;24;66;58;23;2,56;22,00;United States;Northern America;"Hindawi Publishing Corporation";"2009-2020";"Behavioral Neuroscience (Q2); Neurology (Q2); Neurology (clinical) (Q2); Aging (Q3); Cellular and Molecular Neuroscience (Q3); Cognitive Neuroscience (Q3)"
33;21100286315;"Brain and Behavior";journal;"21623279, 21579032";0,873;Q2;35;295;707;13678;1704;687;2,25;46,37;United States;Northern America;"John Wiley and Sons Inc.";"2011-2020";"Behavioral Neuroscience (Q2)"
34;14539;"Developmental Psychobiology";journal;"00121630, 10982302";0,864;Q2;89;125;288;9642;643;282;2,12;77,14;United States;Northern America;"John Wiley and Sons Inc.";"1968-2020";"Behavioral Neuroscience (Q2); Developmental and Educational Psychology (Q2); Developmental Biology (Q2); Developmental Neuroscience (Q2)"
