Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;19900191906;"Academy of Management Annals";journal;"19416520, 19416067";12,595;Q1;61;23;73;5376;1345;69;16,85;233,74;United Kingdom;Western Europe;"Academy of Management";"2010-2020";"Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1)"
2;20191;"Academy of Management Journal";journal;"00014273";11,190;Q1;304;76;280;7778;3254;280;9,32;102,34;United States;Northern America;"Academy of Management";"1975-1987, 1989-2019";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
3;22951;"Journal of Marketing";journal;"15477185, 00222429";8,626;Q1;233;49;147;3653;1756;143;6,76;74,55;United States;Northern America;"American Marketing Association";"1969, 1971, 1973, 1977, 1979-1981, 1996-2020";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
4;23157;"Strategic Management Journal";journal;"10970266, 01432095";8,430;Q1;269;103;448;8230;3584;426;7,08;79,90;United States;Northern America;"John Wiley and Sons Ltd";"1980-2020";"Business and International Management (Q1); Strategy and Management (Q1)"
5;22899;"Journal of Consumer Research";journal;"00935301, 15375277";7,595;Q1;167;47;189;3376;1270;180;6,83;71,83;United Kingdom;Western Europe;"Oxford University Press";"1977-1978, 1984, 1996-2020";"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
6;22961;"Journal of Marketing Research";journal;"00222437, 15477193";7,325;Q1;159;10;182;613;1319;180;6,25;61,30;United States;Northern America;"American Marketing Association";"1968, 1996-2019";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
7;23714;"Marketing Science";journal;"07322399, 1526548X";7,172;Q1;120;52;162;2220;697;155;3,44;42,69;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1996-2020";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
8;24385;"Journal of the Academy of Marketing Science";journal;"00920703, 15527824";5,309;Q1;159;94;171;7972;1912;136;11,42;84,81;United States;Northern America;"Springer New York";"1973-2020";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
9;21100926579;"Review of Corporate Finance Studies";journal;"20469136, 20469128";5,181;Q1;12;11;27;618;60;22;1,80;56,18;United States;Northern America;"Oxford University Press";"2012-2020";"Business and International Management (Q1); Economics and Econometrics (Q1); Finance (Q1)"
10;24392;"Journal of International Business Studies";journal;"00472506, 14786990";4,994;Q1;184;94;185;9683;1781;168;10,28;103,01;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"1996-2020";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
11;23860;"Journal of Business Venturing";journal;"08839026";4,977;Q1;170;70;115;7662;1280;109;11,01;109,46;Netherlands;Western Europe;"Elsevier Inc.";"1985-2020";"Business and International Management (Q1); Management of Technology and Innovation (Q1)"
12;21149;"Leadership Quarterly";journal;"10489843";4,694;Q1;144;67;158;8187;1407;142;9,49;122,19;United Kingdom;Western Europe;"Elsevier Inc.";"1990-2020";"Applied Psychology (Q1); Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)"
13;20650;"Journal of Management Studies";journal;"00222380, 14676486";4,608;Q1;172;77;156;7678;1273;134;6,69;99,71;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1964-2020";"Business and International Management (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
14;4700152287;"Academy of Management Perspectives";journal;"15589080";3,649;Q1;123;23;78;2078;525;73;5,96;90,35;United States;Northern America;"Academy of Management";"2006-2019";"Business and International Management (Q1); Marketing (Q1); Strategy and Management (Q1)"
15;100147318;"Entrepreneurship: Theory and Practice";journal;"10422587, 15406520";3,566;Q1;140;86;138;7804;1500;122;16,35;90,74;United States;Northern America;"Wiley-Blackwell";"2004-2020";"Business and International Management (Q1); Economics and Econometrics (Q1)"
16;28179;"Journal of Advertising";journal;"15577805, 00913367";3,373;Q1;101;45;122;2849;902;116;9,29;63,31;United States;Northern America;"M.E. Sharpe Inc.";"1972-2020";"Business and International Management (Q1); Communication (Q1); Marketing (Q1)"
17;22928;"Journal of Interactive Marketing";journal;"10949968, 15206653";3,289;Q1;97;38;90;2732;716;85;7,37;71,89;United States;Northern America;"Elsevier Ltd.";"1997-2020";"Business and International Management (Q1); Marketing (Q1)"
18;21100217630;"Strategic Entrepreneurship Journal";journal;"19324391, 1932443X";3,245;Q1;38;28;72;2614;540;68;8,76;93,36;United States;Northern America;"John Wiley and Sons Inc.";"2011-2020";"Business and International Management (Q1); Economics and Econometrics (Q1); Strategy and Management (Q1)"
19;29400;"Journal of World Business";journal;"10909516";3,061;Q1;104;49;205;5635;1721;194;7,28;115,00;United Kingdom;Western Europe;"Elsevier Inc.";"1997-2020";"Business and International Management (Q1); Finance (Q1); Marketing (Q1)"
20;11800154593;"Strategic Organization";journal;"1741315X, 14761270";2,987;Q1;51;41;82;3389;405;69;4,49;82,66;United Kingdom;Western Europe;"SAGE Publications Ltd";"2003-2020";"Business and International Management (Q1); Education (Q1); Industrial Relations (Q1); Strategy and Management (Q1)"
21;19696;"International Journal of Project Management";journal;"02637863";2,659;Q1;134;70;334;5958;2839;319;8,87;85,11;United Kingdom;Western Europe;"Elsevier BV";"1983-2020";"Business and International Management (Q1); Management, Monitoring, Policy and Law (Q1); Management of Technology and Innovation (Q1)"
22;20909;"Transportation Research Part E: Logistics and Transportation Review";journal;"13665545";2,302;Q1;103;199;467;10358;3008;458;6,18;52,05;United Kingdom;Western Europe;"Elsevier Ltd.";"1997-2020";"Business and International Management (Q1); Civil and Structural Engineering (Q1); Management Science and Operations Research (Q1); Transportation (Q1)"
23;22944;"Journal of International Marketing";journal;"15477215, 1069031X";2,190;Q1;82;23;52;2078;343;52;5,69;90,35;United States;Northern America;"American Marketing Association";"1996-2020";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
24;21100409642;"Global Strategy Journal";journal;"20425805";2,178;Q1;18;36;73;3623;350;64;5,40;100,64;United States;Northern America;"John Wiley and Sons Inc.";"2014-2020";"Business and International Management (Q1); Strategy and Management (Q1)"
