Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;19900191906;"Academy of Management Annals";journal;"19416520, 19416067";12,595;Q1;61;23;73;5376;1345;69;16,85;233,74;United Kingdom;Western Europe;"Academy of Management";"2010-2020";"Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1)"
2;12817;"Personnel Psychology";journal;"00315826, 17446570";8,770;Q1;133;34;71;3599;730;64;8,76;105,85;United States;Northern America;"Wiley-Blackwell";"1948-2020";"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1)"
3;21100863710;"Annual Review of Organizational Psychology and Organizational Behavior";journal;"23270608";7,999;Q1;42;19;59;2030;832;57;15,00;106,84;United States;Northern America;"Annual Reviews Inc.";"2014-2020";"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Social Psychology (Q1)"
4;22324;"Organization Science";journal;"15265455, 10477039";5,557;Q1;224;67;197;6203;1014;197;3,98;92,58;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1996-2019";"Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)"
5;39139;"International Organization";journal;"15315088, 00208183";4,850;Q1;140;32;93;2337;497;88;5,25;73,03;United Kingdom;Western Europe;"Cambridge University Press";"1947-2020";"Law (Q1); Organizational Behavior and Human Resource Management (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
6;24870;"Journal of Human Resources";journal;"15488004, 0022166X";4,777;Q1;98;16;96;734;386;96;3,27;45,88;United States;Northern America;"University of Wisconsin Press";"1976-1982, 1990, 1992-2019";"Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)"
7;21149;"Leadership Quarterly";journal;"10489843";4,694;Q1;144;67;158;8187;1407;142;9,49;122,19;United Kingdom;Western Europe;"Elsevier Inc.";"1990-2020";"Applied Psychology (Q1); Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)"
8;30020;"Journal of Organizational Behavior";journal;"10991379, 08943796";3,606;Q1;164;73;238;6468;1758;230;6,97;88,60;United States;Northern America;"John Wiley and Sons Ltd";"1981-1982, 1984-2020";"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Psychology (miscellaneous) (Q1); Sociology and Political Science (Q1)"
9;144974;"Journal of Service Research";journal;"10946705, 15527379";3,370;Q1;113;36;86;2827;680;83;8,55;78,53;United States;Northern America;"SAGE Publications Inc.";"1998-2020";"Information Systems (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)"
10;28312;"Organization Studies";journal;"17413044, 01708406";2,967;Q1;140;149;224;11151;1232;212;5,54;74,84;United States;Northern America;"SAGE Publications Ltd";"1980-2020";"Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)"
11;21100405117;"Organizational Psychology Review";journal;"20413866, 20413874";2,784;Q1;14;11;37;1028;203;36;4,18;93,45;United States;Northern America;"SAGE Publications Inc.";"2015-2020";"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Social Psychology (Q1)"
12;22326;"Organizational Behavior and Human Decision Processes";journal;"07495978, 10959920";2,722;Q1;136;74;134;6125;598;129;3,16;82,77;United States;Northern America;"Academic Press Inc.";"1985-2020";"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1)"
13;19250;"Work and Occupations";journal;"07308884, 15528464";2,547;Q1;63;17;42;1134;164;42;3,88;66,71;United States;Northern America;"SAGE Publications Inc.";"1974-2020";"Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)"
14;14130;"Research in Organizational Behavior";journal;"01913085";2,484;Q1;61;0;32;0;207;32;3,60;0,00;United Kingdom;Western Europe;"Elsevier Ltd.";"2000-2004, 2006, 2008-2018";"Experimental and Cognitive Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Social Psychology (Q1)"
15;19680;"Industrial and Labor Relations Review";journal;"00197939, 2162271X";2,423;Q1;74;72;135;3146;436;126;3,73;43,69;United States;Northern America;"SAGE Publications Ltd";"1978, 1981-1982, 1984, 1996-2020";"Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)"
16;3600148105;"Human Resource Management Journal";journal;"09545395";2,357;Q1;72;47;110;3263;712;108;6,03;69,43;United States;Northern America;"Wiley-Blackwell";"1990-2020";"Organizational Behavior and Human Resource Management (Q1)"
17;24719;"Human Resource Management Review";journal;"10534822";2,322;Q1;86;67;111;7885;727;96;6,75;117,69;United Kingdom;Western Europe;"Elsevier Ltd.";"1991-2020";"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1)"
18;12006;"Journal of Vocational Behavior";journal;"10959084, 00018791";2,210;Q1;141;119;242;9734;1391;236;5,40;81,80;United States;Northern America;"Academic Press Inc.";"1971-2020";"Applied Psychology (Q1); Education (Q1); Life-span and Life-course Studies (Q1); Organizational Behavior and Human Resource Management (Q1)"
19;5600155055;"Review of Public Personnel Administration";journal;"0734371X";2,151;Q1;40;56;69;4265;277;56;4,56;76,16;United States;Northern America;"SAGE Publications Inc.";"1980-2020";"Organizational Behavior and Human Resource Management (Q1); Public Administration (Q1)"
20;29861;"Organization and Environment";journal;"15527417, 10860266";2,075;Q1;55;52;70;4212;460;57;4,17;81,00;United States;Northern America;"SAGE Publications Inc.";"1987-2020";"Environmental Science (miscellaneous) (Q1); Organizational Behavior and Human Resource Management (Q1)"
21;28094;"Accounting, Organizations and Society";journal;"03613682";1,924;Q1;125;42;118;4077;486;108;4,14;97,07;United Kingdom;Western Europe;"Elsevier Ltd.";"1976-2020";"Accounting (Q1); Applied Psychology (Q1); Information Systems and Management (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)"
22;5200152701;"Academy of Management Learning and Education";journal;"1537260X";1,886;Q1;71;28;98;1866;449;93;5,11;66,64;United States;Northern America;"George Washington University";"2005-2019";"Education (Q1); Organizational Behavior and Human Resource Management (Q1)"
23;29745;"Information and Organization";journal;"14717727";1,832;Q1;57;17;43;1633;197;42;4,91;96,06;United Kingdom;Western Europe;"Elsevier Ltd.";"1996-1997, 2001-2020";"Information Systems (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1)"
