Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;22951;"Journal of Marketing";journal;"15477185, 00222429";8,626;Q1;233;49;147;3653;1756;143;6,76;74,55;United States;Northern America;"American Marketing Association";"1969, 1971, 1973, 1977, 1979-1981, 1996-2020";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
2;22899;"Journal of Consumer Research";journal;"00935301, 15375277";7,595;Q1;167;47;189;3376;1270;180;6,83;71,83;United Kingdom;Western Europe;"Oxford University Press";"1977-1978, 1984, 1996-2020";"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
3;22961;"Journal of Marketing Research";journal;"00222437, 15477193";7,325;Q1;159;10;182;613;1319;180;6,25;61,30;United States;Northern America;"American Marketing Association";"1968, 1996-2019";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
4;23714;"Marketing Science";journal;"07322399, 1526548X";7,172;Q1;120;52;162;2220;697;155;3,44;42,69;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1996-2020";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
5;24385;"Journal of the Academy of Marketing Science";journal;"00920703, 15527824";5,309;Q1;159;94;171;7972;1912;136;11,42;84,81;United States;Northern America;"Springer New York";"1973-2020";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
6;100147317;"Journal of Supply Chain Management";journal;"15232409, 1745493X";3,983;Q1;86;17;63;1548;576;58;8,84;91,06;United States;Northern America;"Wiley-Blackwell";"1999-2020";"Economics, Econometrics and Finance (miscellaneous) (Q1); Information Systems (Q1); Management Information Systems (Q1); Marketing (Q1)"
7;28181;"Journal of Consumer Psychology";journal;"15327663, 10577408";3,733;Q1;99;71;161;4040;604;153;3,56;56,90;United States;Northern America;"John Wiley &amp; Sons Inc.";"1992-2020";"Applied Psychology (Q1); Marketing (Q1)"
8;4700152287;"Academy of Management Perspectives";journal;"15589080";3,649;Q1;123;23;78;2078;525;73;5,96;90,35;United States;Northern America;"Academy of Management";"2006-2019";"Business and International Management (Q1); Marketing (Q1); Strategy and Management (Q1)"
9;28179;"Journal of Advertising";journal;"15577805, 00913367";3,373;Q1;101;45;122;2849;902;116;9,29;63,31;United States;Northern America;"M.E. Sharpe Inc.";"1972-2020";"Business and International Management (Q1); Communication (Q1); Marketing (Q1)"
10;15823;"Journal of Public Administration Research and Theory";journal;"14779803, 10531858";3,321;Q1;105;49;111;2901;576;108;4,47;59,20;United Kingdom;Western Europe;"Oxford University Press";"1991-2020";"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
11;22928;"Journal of Interactive Marketing";journal;"10949968, 15206653";3,289;Q1;97;38;90;2732;716;85;7,37;71,89;United States;Northern America;"Elsevier Ltd.";"1997-2020";"Business and International Management (Q1); Marketing (Q1)"
12;22990;"Journal of Retailing";journal;"00224359";3,146;Q1;126;45;99;2453;709;98;7,94;54,51;United Kingdom;Western Europe;"Elsevier BV";"1993-2020";"Marketing (Q1)"
13;29400;"Journal of World Business";journal;"10909516";3,061;Q1;104;49;205;5635;1721;194;7,28;115,00;United Kingdom;Western Europe;"Elsevier Inc.";"1997-2020";"Business and International Management (Q1); Finance (Q1); Marketing (Q1)"
14;22833;"International Journal of Research in Marketing";journal;"01678116";2,913;Q1;95;61;169;4181;871;160;4,80;68,54;Netherlands;Western Europe;"Elsevier";"1984-2020";"Marketing (Q1)"
15;15631;"International Journal of Information Management";journal;"02684012";2,881;Q1;99;180;334;16130;3875;325;11,63;89,61;United Kingdom;Western Europe;"Elsevier Ltd.";"1970, 1986-2020";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Marketing (Q1)"
16;17167;"Public Administration Review";journal;"00333352, 15406210";2,867;Q1;130;112;411;5942;1355;237;4,61;53,05;United Kingdom;Western Europe;"Wiley-Blackwell";"1978-1983, 1985, 1988, 1996-2020";"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
17;22944;"Journal of International Marketing";journal;"15477215, 1069031X";2,190;Q1;82;23;52;2078;343;52;5,69;90,35;United States;Northern America;"American Marketing Association";"1996-2020";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
18;10600153348;"International Journal of Advertising";journal;"17593948, 02650487";2,096;Q1;57;88;160;5434;785;145;5,22;61,75;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1982-2020";"Communication (Q1); Marketing (Q1)"
19;22792;"Industrial Marketing Management";journal;"00198501";2,084;Q1;125;225;421;19798;2888;406;6,29;87,99;Netherlands;Western Europe;"Elsevier Inc.";"1971-2020";"Marketing (Q1)"
20;19088;"Governance";journal;"09521895, 14680491";1,908;Q1;72;54;122;3475;402;102;3,36;64,35;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1988-2020";"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
21;20550;"Journal of Business Research";journal;"01482963";1,871;Q1;179;829;1563;65609;11036;1477;7,16;79,14;Netherlands;Western Europe;"Elsevier Inc.";"1973-2020";"Marketing (Q1)"
22;28180;"Journal of Advertising Research";journal;"00218499, 17401909";1,696;Q1;81;42;135;1737;373;102;2,85;41,36;United Kingdom;Western Europe;"The Advertising Research Foundation";"1972, 1996-2020";"Communication (Q1); Marketing (Q1)"
23;16800154723;"Marketing Theory";journal;"14705931, 1741301X";1,663;Q1;62;40;89;2892;374;82;4,00;72,30;United Kingdom;Western Europe;"SAGE Publications Ltd";"2001-2020";"Marketing (Q1)"
24;19700183600;"Journal of Hospitality Marketing and Management";journal;"19368631, 19368623";1,517;Q1;47;64;137;5594;773;133;5,69;87,41;United States;Northern America;"Routledge";"2010-2020";"Management Information Systems (Q1); Marketing (Q1); Tourism, Leisure and Hospitality Management (Q1)"
25;14812;"Journal of Travel and Tourism Marketing";journal;"10548408, 15407306";1,487;Q1;64;81;275;6248;1325;260;5,15;77,14;United States;Northern America;"Routledge";"1992-2020";"Marketing (Q1); Tourism, Leisure and Hospitality Management (Q1)"
26;22972;"Journal of Purchasing and Supply Management";journal;"14784092";1,473;Q1;80;56;90;4825;491;85;5,53;86,16;United Kingdom;Western Europe;"Elsevier Ltd.";"2003-2020";"Marketing (Q1); Strategy and Management (Q1)"
27;21100781509;"Journal of Public Policy and Marketing";journal;"07439156, 15477207";1,457;Q1;70;38;91;2738;297;78;2,35;72,05;United States;Northern America;"American Marketing Association";"1996-2020";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
28;23665;"International Business Review";journal;"09695931";1,453;Q1;87;97;314;10457;1777;302;5,60;107,80;United Kingdom;Western Europe;"Elsevier Ltd.";"1993-2020";"Business and International Management (Q1); Finance (Q1); Marketing (Q1)"
29;21100228536;"Journal of Destination Marketing and Management";journal;"2212571X";1,416;Q1;31;80;201;6469;1133;199;5,57;80,86;United Kingdom;Western Europe;"Elsevier Ltd.";"2012-2020";"Business and International Management (Q1); Marketing (Q1); Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1)"
