Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;20191;"Academy of Management Journal";journal;"00014273";11,190;Q1;304;76;280;7778;3254;280;9,32;102,34;United States;Northern America;"Academy of Management";"1975-1987, 1989-2019";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
2;20206;"Academy of Management Review";journal;"03637425";7,482;Q1;260;61;126;5511;1226;109;10,15;90,34;United States;Northern America;"Academy of Management";"1978-1987, 1989-1991, 1996-2020";"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
3;22324;"Organization Science";journal;"15265455, 10477039";5,557;Q1;224;67;197;6203;1014;197;3,98;92,58;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1996-2019";"Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)"
4;24392;"Journal of International Business Studies";journal;"00472506, 14786990";4,994;Q1;184;94;185;9683;1781;168;10,28;103,01;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"1996-2020";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
5;23860;"Journal of Business Venturing";journal;"08839026";4,977;Q1;170;70;115;7662;1280;109;11,01;109,46;Netherlands;Western Europe;"Elsevier Inc.";"1985-2020";"Business and International Management (Q1); Management of Technology and Innovation (Q1)"
6;22330;"Organizational Research Methods";journal;"15527425, 10944281";4,888;Q1;104;61;93;5703;773;83;8,27;93,49;United States;Northern America;"SAGE Publications Inc.";"1998-2020";"Decision Sciences (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
7;24870;"Journal of Human Resources";journal;"15488004, 0022166X";4,777;Q1;98;16;96;734;386;96;3,27;45,88;United States;Northern America;"University of Wisconsin Press";"1976-1982, 1990, 1992-2019";"Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)"
8;20650;"Journal of Management Studies";journal;"00222380, 14676486";4,608;Q1;172;77;156;7678;1273;134;6,69;99,71;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1964-2020";"Business and International Management (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
9;20037;"International Journal of Management Reviews";journal;"14608545, 14682370";3,482;Q1;96;26;98;3953;1181;96;12,27;152,04;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1999-2002, 2004-2020";"Decision Sciences (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
10;21100467809;"Proceedings - 2016 IEEE European Symposium on Security and Privacy, EURO S and P 2016";conference and proceedings;"-";3,297;-;14;0;33;0;490;30;0,00;0,00;United States;Northern America;"";"";"Computer Networks and Communications; Management of Technology and Innovation"
