Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;21789;"Manufacturing and Service Operations Management";journal;"15265498, 15234614";5,732;Q1;77;56;128;2596;629;128;5,16;46,36;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1999-2020";"Management Science and Operations Research (Q1); Strategy and Management (Q1)"
2;21307;"Management Science";journal;"00251909, 15265501";5,439;Q1;237;302;728;15610;3854;721;4,57;51,69;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1969-2020";"Management Science and Operations Research (Q1); Strategy and Management (Q1)"
3;19169;"Journal of Operations Management";journal;"02726963";3,957;Q1;181;50;103;4178;857;91;6,31;83,56;Netherlands;Western Europe;"John Wiley and Sons Inc.";"1980-1991, 1993-2020";"Computer Science Applications (Q1); Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)"
4;19700180841;"Surveys in Operations Research and Management Science";book series;"18767354, 18767362";3,583;Q1;21;0;9;0;94;8;0,00;0,00;Netherlands;Western Europe;"Elsevier Science B.V.";"2011-2016";"Computer Science Applications (Q1); Economics and Econometrics (Q1); Finance (Q1); Information Systems (Q1); Management Science and Operations Research (Q1)"
5;22238;"Operations Research";journal;"0030364X, 15265463";3,539;Q1;128;97;310;4140;1144;305;2,71;42,68;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1969-2019";"Computer Science Applications (Q1); Management Science and Operations Research (Q1)"
6;20893;"Transportation Research, Part C: Emerging Technologies";journal;"0968090X";3,342;Q1;116;298;793;15500;7044;776;8,36;52,01;United Kingdom;Western Europe;"Elsevier Ltd.";"1993-2020";"Automotive Engineering (Q1); Civil and Structural Engineering (Q1); Computer Science Applications (Q1); Management Science and Operations Research (Q1); Transportation (Q1)"
7;22900;"Research Policy";journal;"00487333";3,246;Q1;224;200;455;16197;3837;445;6,91;80,99;Netherlands;Western Europe;"Elsevier";"1971-2020";"Engineering (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)"
8;20892;"Transportation Research Part B: Methodological";journal;"01912615";2,895;Q1;130;181;592;9026;3826;583;5,94;49,87;United Kingdom;Western Europe;"Elsevier Ltd.";"1979-2020";"Civil and Structural Engineering (Q1); Management Science and Operations Research (Q1); Transportation (Q1)"
9;15700;"Journal of Management Information Systems";journal;"1557928X, 07421222";2,863;Q1;137;44;140;3464;814;119;6,19;78,73;United States;Northern America;"M.E. Sharpe Inc.";"1987-2020";"Computer Science Applications (Q1); Information Systems and Management (Q1); Management Information Systems (Q1); Management Science and Operations Research (Q1)"
10;22405;"Production and Operations Management";journal;"10591478, 19375956";2,843;Q1;102;177;389;9880;1577;376;3,83;55,82;United States;Northern America;"Wiley-Blackwell";"1992-2020";"Industrial and Manufacturing Engineering (Q1); Management of Technology and Innovation (Q1); Management Science and Operations Research (Q1)"
11;21915;"Omega";journal;"03050483";2,579;Q1;131;223;332;11835;2581;327;7,28;53,07;United Kingdom;Western Europe;"Elsevier BV";"1973-2020";"Information Systems and Management (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)"
12;19165;"International Journal of Production Economics";journal;"09255273";2,379;Q1;172;365;879;22647;6779;861;7,02;62,05;Netherlands;Western Europe;"Elsevier";"1991-2020";"Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q1)"
13;22489;"European Journal of Operational Research";journal;"03772217";2,364;Q1;243;717;2111;34273;12536;2083;5,65;47,80;Netherlands;Western Europe;"Elsevier";"1977-2020";"Computer Science (miscellaneous) (Q1); Information Systems and Management (Q1); Management Science and Operations Research (Q1); Modeling and Simulation (Q1)"
14;19700201522;"Journal of Business Logistics";journal;"21581592, 07353766";2,344;Q1;65;28;69;2569;336;57;5,45;91,75;United States;Northern America;"John Wiley &amp; Sons Inc.";"2001-2020";"Business, Management and Accounting (miscellaneous) (Q1); Management Science and Operations Research (Q1)"
15;20909;"Transportation Research Part E: Logistics and Transportation Review";journal;"13665545";2,302;Q1;103;199;467;10358;3008;458;6,18;52,05;United Kingdom;Western Europe;"Elsevier Ltd.";"1997-2020";"Business and International Management (Q1); Civil and Structural Engineering (Q1); Management Science and Operations Research (Q1); Transportation (Q1)"
16;20891;"Transportation Research Part A: Policy and Practice";journal;"09658564";2,109;Q1;120;298;760;16512;4271;733;5,05;55,41;United Kingdom;Western Europe;"Elsevier Ltd.";"1982, 1992-2020";"Civil and Structural Engineering (Q1); Management Science and Operations Research (Q1); Transportation (Q1)"
17;21100862198;"EURO Journal on Transportation and Logistics";journal;"21924384, 21924376";2,100;Q1;16;29;51;990;198;45;3,93;34,14;Germany;Western Europe;"Springer Verlag";"2013-2019";"Management Science and Operations Research (Q1); Modeling and Simulation (Q1); Transportation (Q1)"
