Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;16036;"Administrative Science Quarterly";journal;"00018392, 19303815";11,493;Q1;175;42;77;4562;709;65;10,00;108,62;United States;Northern America;"Johnson School at Cornell University";"1975-1987, 1989-1990, 1993-1994, 1996-2020";"Arts and Humanities (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
2;15555;"American Journal of Political Science";journal;"00925853, 15405907";7,131;Q1;161;87;205;4486;1260;195;5,95;51,56;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1982, 1986, 1996-2020";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
3;16929;"American Sociological Review";journal;"00031224, 19398271";5,992;Q1;185;42;142;4385;1128;138;7,19;104,40;United States;Northern America;"American Sociological Association";"1965-2020";"Sociology and Political Science (Q1)"
4;15557;"American Political Science Review";journal;"15375943, 00030554";5,872;Q1;167;100;189;5738;1038;181;4,99;57,38;United Kingdom;Western Europe;"Cambridge University Press";"1906-2020";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
5;39139;"International Organization";journal;"15315088, 00208183";4,850;Q1;140;32;93;2337;497;88;5,25;73,03;United Kingdom;Western Europe;"Cambridge University Press";"1947-2020";"Law (Q1); Organizational Behavior and Human Resource Management (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
6;21149;"Leadership Quarterly";journal;"10489843";4,694;Q1;144;67;158;8187;1407;142;9,49;122,19;United Kingdom;Western Europe;"Elsevier Inc.";"1990-2020";"Applied Psychology (Q1); Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)"
7;30039;"Journal of Personality and Social Psychology";journal;"00223514";4,539;Q1;351;182;341;9241;2433;305;7,37;50,77;United States;Northern America;"American Psychological Association Inc.";"1965-2020";"Social Psychology (Q1); Sociology and Political Science (Q1)"
8;145558;"Political Analysis";journal;"10471987, 14764989";4,321;Q1;64;44;109;1456;435;99;4,65;33,09;United Kingdom;Western Europe;"Cambridge University Press";"1989-1993, 2004-2020";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
9;20333;"Journal of Politics";journal;"14682508, 00223816";4,286;Q1;115;151;330;6919;1240;327;3,52;45,82;United Kingdom;Western Europe;"University of Chicago Press";"1939-2020";"Sociology and Political Science (Q1)"
10;15646;"Annual Review of Political Science";book series;"10942939, 15451577";4,185;Q1;99;28;86;2770;526;86;5,19;98,93;United States;Northern America;"Annual Reviews Inc.";"1998-2019";"Sociology and Political Science (Q1)"
11;19400158483;"Social Issues and Policy Review";journal;"17512409, 17512395";4,061;Q1;32;9;26;967;275;23;11,00;107,44;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2008-2020";"Applied Psychology (Q1); Social Psychology (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
12;13358;"Sociology of Education";journal;"00380407, 19398573";3,926;Q1;88;18;58;1433;256;51;4,50;79,61;United States;Northern America;"SAGE Publications Inc.";"1980, 1983, 1992, 1996-2020";"Education (Q1); Sociology and Political Science (Q1)"
13;16976;"Annual Review of Sociology";book series;"03600572, 15452115";3,912;Q1;165;30;73;4229;577;73;7,82;140,97;United States;Northern America;"Annual Reviews Inc.";"1975, 1977, 1980-1981, 1983-2019";"Sociology and Political Science (Q1)"
14;16926;"American Journal of Sociology";journal;"00029602, 15375390";3,856;Q1;173;30;122;3348;592;108;3,66;111,60;United States;Northern America;"University of Chicago";"1946-1950, 1964-2019";"Sociology and Political Science (Q1)"
15;15298;"Structural Equation Modeling";journal;"15328007, 10705511";3,822;Q1;91;93;190;4080;892;188;4,31;43,87;United States;Northern America;"Psychology Press Ltd";"1994-2020";"Decision Sciences (miscellaneous) (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Modeling and Simulation (Q1); Sociology and Political Science (Q1)"
16;16232;"British Journal of Political Science";journal;"00071234, 14692112";3,820;Q1;91;124;153;7569;592;111;4,96;61,04;United Kingdom;Western Europe;"Cambridge University Press";"1971-2020";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
17;30020;"Journal of Organizational Behavior";journal;"10991379, 08943796";3,606;Q1;164;73;238;6468;1758;230;6,97;88,60;United States;Northern America;"John Wiley and Sons Ltd";"1981-1982, 1984-2020";"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Psychology (miscellaneous) (Q1); Sociology and Political Science (Q1)"
18;22832;"Political Behavior";journal;"01909320, 15736687";3,581;Q1;63;110;147;6647;521;124;3,85;60,43;United States;Northern America;"Springer New York";"1979-2020";"Sociology and Political Science (Q1)"
19;13447;"Comparative Political Studies";journal;"15523829, 00104140";3,500;Q1;102;78;193;5514;835;183;4,17;70,69;United States;Northern America;"SAGE Publications Inc.";"1968-2020";"Sociology and Political Science (Q1)"
20;22838;"Political Communication";journal;"10584609, 10917675";3,434;Q1;77;49;132;2238;585;87;6,51;45,67;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1980-2020";"Communication (Q1); Sociology and Political Science (Q1)"
21;144974;"Journal of Service Research";journal;"10946705, 15527379";3,370;Q1;113;36;86;2827;680;83;8,55;78,53;United States;Northern America;"SAGE Publications Inc.";"1998-2020";"Information Systems (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)"
22;18437;"European Journal of Political Research";journal;"03044130, 14756765";3,327;Q1;90;85;143;5701;698;140;4,06;67,07;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1973-2020";"Sociology and Political Science (Q1)"
23;15823;"Journal of Public Administration Research and Theory";journal;"14779803, 10531858";3,321;Q1;105;49;111;2901;576;108;4,47;59,20;United Kingdom;Western Europe;"Oxford University Press";"1991-2020";"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
24;26362;"Journal of Peace Research";journal;"00223433";3,190;Q1;93;68;171;4136;605;164;3,36;60,82;United Kingdom;Western Europe;"SAGE Publications Ltd";"1964-2020";"Political Science and International Relations (Q1); Safety Research (Q1); Sociology and Political Science (Q1)"
25;11600153640;"Quarterly Journal of Political Science";journal;"15540634, 15540626";3,079;Q1;31;16;47;711;104;47;1,67;44,44;United States;Northern America;"Now Publishers Inc";"2006-2020";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
26;27663;"Journal of Conflict Resolution";journal;"00220027";3,031;Q1;101;109;206;6779;731;204;3,44;62,19;United States;Northern America;"SAGE Publications Inc.";"1957-2020";"Business, Management and Accounting (miscellaneous) (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
27;16306;"New Media and Society";journal;"14614448, 14617315";2,964;Q1;99;185;487;10395;2960;476;6,00;56,19;United States;Northern America;"SAGE Publications Ltd";"1999-2020";"Communication (Q1); Sociology and Political Science (Q1)"
28;25772;"International Affairs";journal;"14682346, 00205850";2,925;Q1;76;65;185;4406;805;179;3,97;67,78;United Kingdom;Western Europe;"Wiley-Blackwell";"1979-1986, 1988-1989, 1996-2020";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
