Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;24379;"Journal of Financial Economics";journal;"0304405X";11,999;Q1;240;148;360;7552;2726;357;6,79;51,03;Netherlands;Western Europe;"Elsevier";"1974-2020";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)"
2;20191;"Academy of Management Journal";journal;"00014273";11,190;Q1;304;76;280;7778;3254;280;9,32;102,34;United States;Northern America;"Academy of Management";"1975-1987, 1989-2019";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
3;23157;"Strategic Management Journal";journal;"10970266, 01432095";8,430;Q1;269;103;448;8230;3584;426;7,08;79,90;United States;Northern America;"John Wiley and Sons Ltd";"1980-2020";"Business and International Management (Q1); Strategy and Management (Q1)"
4;20206;"Academy of Management Review";journal;"03637425";7,482;Q1;260;61;126;5511;1226;109;10,15;90,34;United States;Northern America;"Academy of Management";"1978-1987, 1989-1991, 1996-2020";"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
5;20635;"Journal of Management";journal;"01492063, 15571211";6,982;Q1;208;140;295;14798;3784;265;11,42;105,70;United States;Northern America;"SAGE Publications Inc.";"1975-2020";"Finance (Q1); Strategy and Management (Q1)"
6;21789;"Manufacturing and Service Operations Management";journal;"15265498, 15234614";5,732;Q1;77;56;128;2596;629;128;5,16;46,36;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1999-2020";"Management Science and Operations Research (Q1); Strategy and Management (Q1)"
7;22324;"Organization Science";journal;"15265455, 10477039";5,557;Q1;224;67;197;6203;1014;197;3,98;92,58;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1996-2019";"Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)"
8;21307;"Management Science";journal;"00251909, 15265501";5,439;Q1;237;302;728;15610;3854;721;4,57;51,69;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1969-2020";"Management Science and Operations Research (Q1); Strategy and Management (Q1)"
9;24392;"Journal of International Business Studies";journal;"00472506, 14786990";4,994;Q1;184;94;185;9683;1781;168;10,28;103,01;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"1996-2020";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
10;22330;"Organizational Research Methods";journal;"15527425, 10944281";4,888;Q1;104;61;93;5703;773;83;8,27;93,49;United States;Northern America;"SAGE Publications Inc.";"1998-2020";"Decision Sciences (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
